notes, tabs
A3,B10
D3,e10
F3,e13
D3,e10
A3,B10
D3,e10
F3,e13
D3,e10
A+3,B11
D3,e10
F3,e13
D3,e10
A+3,B11
D3,e10
F3,e13
D3,e10
A+3,B11
D3,e10
F3,e13
G3,e15
E3,e12
C3,B13
E3,e12
G3,e15
E3,e12
C3,B13
E3,e12
G3,e15
E3,e12
C3,B13
E3,e12
G3,e15
E3,e12
C3,B13
G3,e15
E3,e12
C3,B13
E3,e12
G3,e15
E3,e12
C3,B13
E3,e12
G3,e15
E3,e12
C3,B13
E3,e12
G3,e15
A3,B10
D3,e10
F3,e13
D3,e10
A3,B10
D3,e10
F3,e13
D3,e10
A3,B10
D3,e10
F3,e13
D3,e10
A3,B10
D3,e10
F3,e13
D3,e10
A3,B10
D3,e10
F3,e13
D3,e10
A+3,B11
D3,e10
F3,e13
D3,e10
A+3,B11
D3,e10
F3,e13
D3,e10
A+3,B11
D3,e10
F3,e13
G3,e15
E3,e12
C3,B13
E3,e12
G3,e15
E3,e12
C3,B13
E3,e12
G3,e15
E3,e12
C3,B13
E3,e12
G3,e15
E3,e12
C3,B13
E3,e12
G3,e15
E3,e12
C3,B13
E3,e12
G3,e15
E3,e12
C3,B13
E3,e12
G3,e15
E3,e12
C3,B13
E3,e12
G3,e15
E3,e12
B3,B12
G3,e15
A4,e17
G3,e15
A4,e17
G3,e15
F3,e13
D3,B15
F3,e13
C3,B13
G3,e15
A4,e17
G3,e15
A4,e17
G3,e15
E3,e12
G3,e15
E3,e12
C3,B13
D3,B15
C3,B13
A3,B10
C3,B13
A3,B10
E2,G9
G2,G12
E2,G9
F2,D15
A2,D7
A2;C2;F2,D7;G5;B6
E2;C2;G1,B5;G5;D5
F1;A+2;D2,D3;G3;B3
F2;C2;A2,B6;G5;D7
C2,G5
F2;A2,B6;D7
G1;E2,D5;B5
G1;C2;E2,D5;G5;B5
C2,G5
F2,G10
A3;F2,B10;G10
G2,B8
G2,B8
G2;E2,B8;G9
C2;A2;F2,G5;D7;B6
E2;G1;C2,B5;D5;G5
F1;A+2;D2,D3;G3;B3
C2;F2;A2,G5;B6;D7
C2,G5
F2;A2,B6;D7
G1;E2,D5;B5
C2;E2;G1,G5;B5;D5
D1,A5
E1,A7
G1,D5
A2,D7
C2,G5
END, END
A1,A0
A1,A0
D2,G7
D+2,G8
D2,G7
A1,A0
A2,D7
A+2,D8
A2,D7
A2,D7
A1,A0
F1,A8
E1,A7
G1,D5
E1,A7
C2,G5
A2,D7
E2,G9
D2,G7
B2,D9
D2,G7
B2,D9
A+2,D8
A2,D7
G1,D5
E0,E0
E0,E0
E0,E0
E0,E0
D1;G1,A5;D5
E1;A2,A7;D7
D1;G1,A5;D5
E1;A2,A7;D7
E0,E0
E0,E0
E0,E0
E0,E0
E1,A7
D1,A5
B1,E7
A+1,E6
E0,E0
E0,E0
E0,E0
E0,E0
D1;G1,A5;D5
E1;A2,A7;D7
D1;G1,A5;D5
E1;A2,A7;D7
E0,E0
E0,E0
E0,E0
E0,E0
E1,A7
D1,A5
B1,E7
A+1,E6
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
B1,E7
A+1,E6
G1,D5
E1,A7
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
B1,E7
A+1,E6
G1,D5
E1,A7
G1;C2,D5;G5
A1,A0
A1,A0
A1,A0
G1;C2,D5;G5
A2;D2,D7;G7
G1;C2,D5;G5
G1;C2,D5;G5
A1,A0
A1,A0
A1,A0
G1;C2,D5;G5
A2;D2,D7;G7
G1;C2,D5;G5
G1;C2,D5;G5
A1,A0
A1,A0
A1,A0
G1;C2,D5;G5
A2;D2,D7;G7
G1;C2,D5;G5
D2,G7
C2,G5
A2,D7
G+1,D6
G1,D5
E1,A7
D+1,A6
D1,A5
E2,G9
D2,G7
B2,D9
D2,G7
B2,D9
A+2,D8
A2,D7
G1,D5
D2;G1,D12;A10
C+2,D11
F+1,A9
C2,D10
F1,A8
B2;E1,D9;A7
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
D2;G1,D12;A10
C+2,D11
F+1,A9
C2,D10
F1,A8
E0,E0
E0,E0
E0,E0
E0,E0
G1;D1,D5;A5
A2;E1,D7;A7
G1;D1,D5;A5
A2;E1,D7;A7
E0,E0
E0,E0
E0,E0
E0,E0
E1,A7
D1,A5
B1,E7
A+1,E6
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
B1,E7
A+1,E6
G1,D5
E1,A7
G1;C2,D5;G5
A1,A0
A1,A0
A1,A0
G1;C2,D5;G5
A2;D2,D7;G7
G1;C2,D5;G5
G1;C2,D5;G5
A1,A0
A1,A0
A1,A0
G1;C2,D5;G5
A2;D2,D7;G7
G1;C2,D5;G5
G1;C2,D5;G5
A1,A0
A1,A0
A1,A0
G1;C2,D5;G5
A2;D2,D7;G7
G1;C2,D5;G5
D2,G7
C2,G5
A2,D7
G+1,D6
G1,D5
E1,A7
D+1,A6
D1,A5
E2,G9
D2,G7
B2,D9
D2,G7
B2,D9
A+2,D8
A2,D7
G1,D5
G1;D2,A10;D12
C+2,D11
F+1,A9
C2,D10
F1,A8
E1;B2,A7;D9
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
G1;D2,A10;D12
C+2,D11
F+1,A9
C2,D10
F1,A8
E1;B2,A7;D9
E1;B2,A7;D9
G1,D5
A1,A0
A1,A0
A2,D7
A1,A0
A1,A0
A2,D7
A1,A0
A1;G1,A0;D5
A2;A1,D7;A0
A1,A0
A2,D7
A1,A0
A1,A0
A2,D7
A1,A0
G1;C2,D5;G5
A1,A0
A1,A0
A2,D7
A1,A0
A1,A0
A2,D7
A1,A0
F+1;B2,D4;G4
A1,A0
A1,A0
A2,D7
A1,A0
A1,A0
A2,D7
C1,A3
B1,A2
A1,A0
F1,D3
E1,D2
D1,D0
C1,A3
A1,A0
G1;D2,A10;D12
C+2,D11
F+1,A9
C2,D10
F1,A8
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
D2;G1,D12;A10
C+2,D11
F+1,A9
C2,D10
F1,A8
G1,D5
A1,A0
A1,A0
A2,D7
A1,A0
A1,A0
A2,D7
A1,A0
G1;C2,D5;G5
A1,A0
A1,A0
A2,D7
A1,A0
A1,A0
A2,D7
A1,A0
F+1;B2,D4;G4
A1,A0
A1,A0
A2,D7
A1,A0
A1,A0
A2,D7
C1,A3
B1,A2
A1,A0
F1,D3
E1,D2
D1,D0
C1,A3
A1,A0
G1,D5
A1,A0
A1,A0
A2,D7
A1,A0
A1,A0
A2,D7
A1,A0
G1;C2,D5;G5
A1,A0
A1,A0
A2,D7
A1,A0
A1,A0
A2,D7
A1,A0
F+1;B2,D4;G4
A1,A0
A1,A0
A2,D7
A1,A0
A1,A0
A2,D7
B3,B12
D3,B15
E3,e12
G3,e15
E3,e12
B3,B12
E3,e12
G3,e15
E3,e12
A4,e17
E3,e12
G3,e15
E3,e12
D3,B15
E3,e12
G3,e15
E3,e12
A4,e17
E3,e12
G3,e15
E3,e12
D3,B15
E3,e12
D3,B15
E3,e12
D3,B15
E3,B17
D3,B15
D3,B15
B3,e7
B3,e7
D3,e10
B3,e7
A3,B10
B3,e7
B3,e7
A3,B10
F+2,B7
A3,B10
F+2,B7
E2,G9
D2,G7
B2,D9
D2,G7
E2,G9
F+2,G11
E2,G9
D2,G7
B2,D9
B2,D9
B2,D9
B2,D9
A4,e17
B4,e19
A3,G14
D3,B15
G+3,e16
G3,e15
F+3,e14
D3,B15
C+3,B14
B3,G16
G2,G12
D3,B15
E3,B17
D+3,B16
D3,B15
D3,B15
A+4,B23
C4,e20
C4,e20
D+4,e23
C4,e20
G+4,e28
D4,e22
B4,e19
B4,e19
C+4,e21
C+4,e21
A4,e17
G3,e15
B4,e19
G+3,e16
F+3,e14
F+3,e14
A4,e17
F+3,e14
E3,e12
G+3,e16
E3,e12
D+3,e11
F+3,e14
E3,e12
D+3,e11
C+3,e9
B3,e7
D3,e10
B3,e7
A3,B10
B3,e7
D3,e10
B3,e7
A3,B10
F+2,B7
A3,B10
F+2,B7
E2,G9
D2,G7
E2,G9
F+2,B7
E2,G9
E2,G9
F+2,G11
E2,G9
D2,G7
E2,G9
D2,G7
B2,D9
D2,G7
D2,G7
A1,E5
A1,E5
B1,E7
D1,A5
F+1,A9
A2,D7
B2,D9
A2,D7
F+1,A9
A2,D7
B2,D9
B2,D9
D2,G7
E2,G9
E2,G9
F+2,G11
E2,G9
D2,G7
E2,G9
D2,G7
D2,G7
E2,G9
B2,D9
D2,G7
E2,G9
E2,G9
F+2,G11
F+2,B7
A3,B10
F+2,B7
E2,G9
D2,G7
B2,D9
D2,G7
E2,G9
F+2,G11
E2,G9
D2,G7
E2,G9
F+2,G11
A3,G14
B3,B12
D3,B15
E3,B17
E3,e12
D3,B15
B3,B12
A3,G14
B3,B12
D3,B15
E3,B17
E3,e12
D3,B15
B3,B12
B3,B12
D3,B15
D3,B15
E3,B17
E3,e12
D3,B15
B3,B12
D3,B15
D3,B15
E3,B17
E3,e12
D3,B15
E3,e12
G3,e15
E3,e12
D3,B15
B3,B12
A3,G14
B3,B12
D3,B15
B3,B12
A3,G14
G2,G12
E2,D14
G2,G12
A3,G14
G2,G12
E2,D14
D2,D12
B2,A14
A2,A12
G1,E15
G1,E15
A2,A12
B2,A14
A2,A12
B2,A14
D2,D12
B2,A14
D2,D12
E2,D14
D2,D12
E2,D14
G2,G12
E2,D14
G2,G12
A3,G14
G2,G12
A3,G14
B3,B12
A3,G14
B3,B12
D3,B15
B3,B12
D3,B15
E3,e12
D3,B15
E3,e12
G3,e15
E3,e12
D3,B15
B3,B12
B3,B12
D3,B15
B3,B12
A3,G14
G2,G12
G0,E3
F+0,E2
E0,E0
C1,A3
B1,A2
A1,A0
G0,E3
F+0,E2
G0,E3
F+0,E2
E0,E0
C1,A3
B1,A2
A1,A0
G0,E3
F+0,E2
A2;E1;A1,G2;D2;A0
A1,A0
A1,A0
D2,G7
D+2,G8
D2,G7
A1,A0
A2,D7
A+2,D8
A2,D7
A2,D7
A1,A0
F1,A8
E1,A7
G1,D5
E1,A7
C2,G5
A2,D7
E2,G9
D2,G7
B2,D9
D2,G7
B2,D9
A+2,D8
A2,D7
G1,D5
E0,E0
E0,E0
E0,E0
E0,E0
D1;G1,A5;D5
E1;A2,A7;D7
D1;G1,A5;D5
E1;A2,A7;D7
E0,E0
E0,E0
E0,E0
E0,E0
E1,A7
D1,A5
B1,E7
A+1,E6
E0,E0
E0,E0
E0,E0
E0,E0
D1;G1,A5;D5
E1;A2,A7;D7
D1;G1,A5;D5
E1;A2,A7;D7
E0,E0
E0,E0
E0,E0
E0,E0
E1,A7
D1,A5
B1,E7
A+1,E6
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
B1,E7
A+1,E6
G1,D5
E1,A7
C2;G1,G5;D5
A1,A0
A1,A0
A1,A0
C2;G1,G5;D5
D2;A2,G7;D7
C2;G1,G5;D5
C2;G1,G5;D5
A1,A0
A1,A0
A1,A0
C2;G1,G5;D5
D2;A2,G7;D7
C2;G1,G5;D5
C2;G1,G5;D5
A1,A0
A1,A0
A1,A0
C2;G1,G5;D5
D2;A2,G7;D7
C2;G1,G5;D5
D2,G7
C2,G5
A2,D7
G+1,D6
G1,D5
E1,A7
D+1,A6
D1,A5
E2,G9
D2,G7
B2,D9
D2,G7
B2,D9
A+2,D8
A2,D7
G1,D5
G1;D2,A10;D12
C+2,D11
F+1,A9
C2,D10
F1,A8
E1;B2,A7;D9
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
G1;D2,A10;D12
C+2,D11
F+1,A9
C2,D10
F1,A8
E1;B2,A7;D9
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
G1;D2,A10;D12
C+2,D11
F+1,A9
E0,E0
E0,E0
C+2,D11
F+1,A9
C2,D10
F1,A8
E0,E0
E0,E0
C2,D10
F1,A8
B2;E1,D9;A7
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
D2;G1,D12;A10
C+2,D11
F+1,A9
E0,E0
E0,E0
C+2,D11
F+1,A9
D1;A2,A5;D7
E0,E0
E0,E0
D1;A2,A5;D7
B2;E1,D9;A7
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
D2;G1,D12;A10
B2,G4
E1;B2,A7;D9
E0,E0
E0,E0
E0,E0
E0,E0
E0,E0
E1,E12
E0,E0
E0,E0
E1;B1;B2,D2;A2;G4
E0,E0
E0,E0
G0;D1;G1,E3;A5;D5
E0,E0
E0,E0
F+1;C+1;F+0,D4;A4;E2
E0,E0
E0,E0
G0;D1;G1,E3;A5;D5
E0,E0
E0,E0
A2;A1;E1,D7;E5;A7
D1;G0;G1,A5;E3;D5
D+2,G8
E0,E0
E0,E0
E2,G9
D2,G7
B2,D9
D2,G7
B2,D9
A+2,D8
A2,D7
G1,D5
A+2,G3
E0,E0
E0,E0
E0,E0
E0,E0
D2;G2;G1,D12;G12;A10
E0,E0
END, END
E2,B5
E2,e0
F+2,B7
E2,e0
G2,B8
E2,e0
A3,B10
E2,e0
G2,B8
E2,e0
F+2,B7
E2,e0
E2,B5
E2,e0
E2,B5
E2,e0
D+2,B4
E2,e0
E2,B5
E2,e0
F+2,B7
C+2,B2
D+2,B4
E2,B5
F+2,e2
E2,B5
D+2,B4
C+2,B2
D+2,B4
E0;E2;G1;E1;B2;B1,E0;e0;G0;D2;B0;A2
E1;E2;E0;G1;B2;B1,D2;e0;E0;G0;B0;A2
E2,B5
E2,e0
F+2,B7
E2,e0
G2,B8
E2,e0
A3,B10
E2,e0
G2,B8
E2,e0
F+2,B7
E2,e0
E2,B5
E2,e0
E2,B5
E2,e0
D+2,B4
E2,e0
E2,B5
E2,e0
F+2,B7
E2,e0
E2;E2,B5;e0
D+2,B4
D+2;E2,B4;e0
C+2,B2
C+2;E2,B2;e0
D+2,B4
E0,E0
G1;G2;B2,G0;e3;B0
A2;F+2;D1;D2,G2;e2;D0;B3
D2;F+2;D1;A2,B3;e2;D0;G2
G0,E3
B2;G2;G1;D1,B0;e3;G0;D0
D1;F+2;A2;D2,D0;e2;G2;B3
D2;F+2;A2;F1,B3;e2;G2;D3
E0,E0
G1;G2;B2,G0;e3;B0
G1;G2;B2,G0;e3;B0
B2;G2;G1,B0;e3;G0
G1;G2;B2,G0;e3;B0
F+2,e2
G2,e3
A3,e5
G2,e3
F+2,e2
G2,e3
E0,E0
B2;G2;G1,B0;e3;G0
D2;F+2;A2;D1,B3;e2;G2;D0
A2;F+2;D2;D1,G2;e2;B3;D0
A2;C+2;E1,G2;B2;D2
E1;C+2;A2,D2;B2;G2
A2;C+2;E1,G2;B2;D2
E1;C+2;A2,D2;B2;G2
B2;D+2;F+1,G4;B4;D4
B2;F+1;D+2,G4;D4;B4
F+1;D+2;B2,D4;B4;G4
F+1;B2;D+2,D4;G4;B4
E2,B5
E2,e0
F+2,B7
E2,e0
G2,B8
E2,e0
A3,B10
E2,e0
G2,B8
E2,e0
F+2,B7
E2,e0
E2,B5
E2,e0
E2,B5
E2,e0
D+2,B4
E2,e0
E2,B5
E2,e0
F+2,B7
E2,e0
E2;E2,B5;e0
D+2,B4
D+2;E2,B4;e0
C+2,B2
C+2;E2,B2;e0
D+2,B4
D2,B3
D1,D0
E2,e0
D1,D0
F2,e1
D1,D0
G2,e3
D1,D0
D2;F2,B3;e1
D1,D0
D2;E2;A2,B3;e0;G2
A2,G2
D2,B3
D1,D0
C+2,B2
D2,B3
E2,B5
B2,B0
C+2,B2
D2,B3
E2,e0
D2,B3
C+2,B2
B2,B0
C+2,B2
A2;F2;D2;D1,G2;e1;B3;D0
D1,D0
A1,A0
D1,D0
A1,A0
D1,D0
A2;F2;D2;A1;D1,G2;e1;B3;A0;D0
G1,G0
A2,G2
G1,G0
E1,D2
C+1,A4
E1,D2
G1,G0
E1,D2
C+1,A4
E1,D2
G1,G0
E1,D2
C+1,A4
E1,D2
G1,G0
A2,G2
G1,G0
F1,D3
E1,D2
E2,B5
F+2,B7
G2,B8
A3,e5
G2,B8
F+2,B7
E2,B5
E2,B5
F+2,B7
E2,B5
D+2,B4
E2,B5
F+2,B7
E2,B5
D+2,B4
E2,B5
D+2,B4
C+2,B2
D+2,B4
END, END
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
G+1,D6
E2,G9
G+1,D6
E2,G9
G+1,D6
E2,G9
G+1,D6
E2,G9
G+1,D6
E2,G9
G+1,D6
E2,G9
G+1,D6
E2,G9
G+1,D6
E2,G9
D1,A5
E2,G9
D1,A5
E2,G9
D1,A5
E2,G9
D1,A5
E2,G9
D1,A5
E2,G9
D1,A5
E2,G9
D1,A5
E2,G9
D1,A5
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
E1;C+2;A1;A2,A7;G6;E5;D7
A2;C+2;A1;E1,D7;G6;E5;A7
A1;C+2;A2;E1,E5;G6;D7;A7
A1;C+2;E1;A2,E5;G6;A7;D7
A2;C+2;E1;A1,D7;G6;A7;E5
E1;C+2;A2;A1,A7;G6;D7;E5
E1;C+2;A1;A2,A7;G6;E5;D7
A2;C+2;A1;E1,D7;G6;E5;A7
A1;C+2;A2;E1,E5;G6;D7;A7
A1;C+2;E1;A2,E5;G6;A7;D7
A2;C+2;E1;A1,D7;G6;A7;E5
E1;C+2;A2;A1,A7;G6;D7;E5
E1;C+2;A1;A2,A7;G6;E5;D7
A2;C+2;A1;E1,D7;G6;E5;A7
A1;C+2;A2;E1,E5;G6;D7;A7
A1;C+2;E1;A2,E5;G6;A7;D7
G+0;E1;G+1,E4;A7;D6
G+1;E1;G+0,D6;A7;E4
G+0;E1;G+1,E4;A7;D6
G+1;E1;G+0,D6;A7;E4
G+0;E1;G+1,E4;A7;D6
E1;G+1;G+0,A7;D6;E4
G+0;G+1;E1,E4;D6;A7
E1;G+0;G+1,A7;E4;D6
G+1;G+0;E1,D6;E4;A7
E1;G+0;G+1,A7;E4;D6
G+1;G+0;E1,D6;E4;A7
G+0;G+1;E1,E4;D6;A7
G+0;E1;G+1,E4;A7;D6
G+1;E1;G+0,D6;A7;E4
G+1;G+0;E1,D6;E4;A7
E1;G+0;G+1,A7;E4;D6
A2;D2;D1,D7;G7;A5
A2;D2;D1,D7;G7;A5
D1;D2;A2,A5;G7;D7
A2;D2;D1,D7;G7;A5
D1;D2;A2,A5;G7;D7
A2;D2;D1,D7;G7;A5
D1;D2;A2,A5;G7;D7
A2;D2;D1,D7;G7;A5
D1;D2;A2,A5;G7;D7
A2;D2;D1,D7;G7;A5
D1;D2;A2,A5;G7;D7
A2;D2;D1,D7;G7;A5
D1;D2;A2,A5;G7;D7
A2;D2;D1,D7;G7;A5
D1;D2;A2,A5;G7;D7
A2;D2;D1,D7;G7;A5
A1;C+2;A2;E1,E5;G6;D7;A7
A1;C+2;E1;A2,E5;G6;A7;D7
A2;C+2;E1;A1,D7;G6;A7;E5
E1;C+2;A2;A1,A7;G6;D7;E5
E1;C+2;A1;A2,A7;G6;E5;D7
A2;C+2;A1;E1,D7;G6;E5;A7
A1;C+2;A2;E1,E5;G6;D7;A7
A1;C+2;E1;A2,E5;G6;A7;D7
A2;C+2;E1;A1,D7;G6;A7;E5
E1;C+2;A2;A1,A7;G6;D7;E5
E1;C+2;A1;A2,A7;G6;E5;D7
A2;C+2;A1;E1,D7;G6;E5;A7
A1;C+2;A2;E1,E5;G6;D7;A7
A1;C+2;E1;A2,E5;G6;A7;D7
A2;C+2;E1;A1,D7;G6;A7;E5
E1;C+2;A2;A1,A7;G6;D7;E5
C+3,e9
G+2,B9
A3,B10
C+3,e9
G+2,B9
G+2,B9
F+2,B7
C+3,e9
G+2,B9
A3,B10
A2;A3;E2,D7;B10;G9
E2;A3;A2,G9;B10;D7
A2;A3;E2,D7;B10;G9
E2;A3;A2,G9;B10;D7
A2;A3;E2,D7;B10;G9
E2;A3;A2,G9;B10;D7
A2;A3;E2,D7;B10;G9
E2;A3;A2,G9;B10;D7
A2;A3;E2,D7;B10;G9
E2;A3;A2,G9;B10;D7
A2;A3;E2,D7;B10;G9
E2;A3;A2,G9;B10;D7
A2;A3;E2,D7;B10;G9
E2;A3;A2,G9;B10;D7
A2;A3;E2,D7;B10;G9
E2;A3;A2,G9;B10;D7
G+1;A3;E2,D6;B10;G9
E2;A3;G+1,G9;B10;D6
G+1;A3;E2,D6;B10;G9
E2;A3;G+1,G9;B10;D6
G+1;A3;E2,D6;B10;G9
E2;A3;G+1,G9;B10;D6
G+1;A3;E2,D6;B10;G9
E2;A3;G+1,G9;B10;D6
G+1;A3;E2,D6;B10;G9
E2;A3;G+1,G9;B10;D6
G+1;A3;E2,D6;B10;G9
E2;A3;G+1,G9;B10;D6
G+1;A3;E2,D6;B10;G9
E2;A3;G+1,G9;B10;D6
G+1;A3;E2,D6;B10;G9
E2;A3;G+1,G9;B10;D6
D1;A3;E2,D0;B10;G9
E2;A3;D1,G9;B10;D0
D1;A3;E2,D0;B10;G9
E2;A3;D1,G9;B10;D0
D1;A3;E2,D0;B10;G9
E2;A3;D1,G9;B10;D0
D1;A3;E2,D0;B10;G9
E2;A3;D1,G9;B10;D0
D1;A3;E2,D0;B10;G9
E2;A3;D1,G9;B10;D0
D1;A3;E2,D0;B10;G9
E2;A3;D1,G9;B10;D0
D1;A3;E2,D0;B10;G9
E2;A3;D1,G9;B10;D0
D1;A3;E2,D0;B10;G9
E2;A3;D1,G9;B10;D0
A2;A3;E2,D7;B10;G9
E2;A3;A2,G9;B10;D7
A2;A3;E2,D7;B10;G9
E2;A3;A2,G9;B10;D7
A2;A3;E2,D7;B10;G9
E2;A3;A2,G9;B10;D7
A2;A3;E2,D7;B10;G9
E2;A3;A2,G9;B10;D7
A2;A3;E2,D7;B10;G9
E2;A3;A2,G9;B10;D7
A2;A3;E2,D7;B10;G9
E2;A3;A2,G9;B10;D7
A2;A3;E2,D7;B10;G9
E2;A3;A2,G9;B10;D7
A2;A3;E2,D7;B10;G9
E2;A3;A2,G9;B10;D7
A1;A2,E5;D7
A1;A2,E5;D7
A1;A2,E5;D7
A1;A2,E5;D7
B1;B2,E7;D9
B1;B2,E7;D9
B1;B2,E7;D9
B1;B2,E7;D9
C+2;C+1,D11;E9
C+2;C+1,D11;E9
C+2;C+1,D11;E9
C+2;C+1,D11;E9
C+2;C+1,D11;E9
C+2;C+1,D11;E9
C+2;C+1,D11;E9
C+2;C+1,D11;E9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
G+1,D6
E2,G9
G+1,D6
E2,G9
G+1,D6
E2,G9
G+1,D6
E2,G9
G+1,D6
E2,G9
G+1,D6
E2,G9
G+1,D6
E2,G9
G+1,D6
E2,G9
D1,A5
E2,G9
D1,A5
E2,G9
D1,A5
E2,G9
D1,A5
E2,G9
D1,A5
E2,G9
D1,A5
E2,G9
D1,A5
E2,G9
D1,A5
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
A2,D7
E2,G9
END, END
A1,A0
E1,D2
A2;E2;C2,G2;e0;B1
C1,A3
E1,D2
G1;C2,G0;B1
E1,D2
D1,D0
A2,G2
D2;F+2,B3;e2
A2,G2
A1,A0
E1,D2
A2;E2;C2,G2;e0;B1
C1,A3
E1,D2
C2;G1,B1;G0
E1,D2
D1,D0
A2,G2
D2;F+2,B3;e2
A2,G2
D2;G2;G1;B1;G0;D1,B3;e3;G0;A2;E3;D0
A2;G2;A1;C2;E1,G2;e3;A0;B1;D2
F1;G2;A1;A2;C2,D3;e3;A0;G2;B1
G1;G2;E0;C1;C2;E1,G0;e3;E0;A3;B1;D2
A1,A0
E1,D2
A2;E2;C2,G2;e0;B1
C1,A3
E1,D2
G1;C2,G0;B1
E1,D2
D1,D0
A2,G2
D2;F+2,B3;e2
A2,G2
D2;G2;B1;G0;G1;D1,B3;e3;A2;E3;G0;D0
C2;G2;A1;E1;A2,B1;e3;A0;D2;G2
A1;G2;C2;A2;F1,A0;e3;B1;G2;D3
G1;G2;C1;E1;E0;C2,G0;e3;A3;D2;E0;B1
D2;G2;D1;G1;B1;G0,B3;e3;D0;G0;A2;E3
C2;G2;A2;A1;E1,B1;e3;G2;A0;D2
F1;G2;C2;A1;A2,D3;e3;B1;A0;G2
E0;G2;C1;E1;C2;G1,E0;e3;A3;D2;B1;G0
END, END
A1,A0
C1,A3
D1;A2,D0;G2
D1,D0
C1,A3
F1;A+1,D3;A1
F1;D2;A+2;A+1,D3;B3;G3;A1
F1;D2;A+1;A+2,D3;B3;A1;G3
C1,A3
C2;E2;G1;C1,G5;B5;D5;A3
C1;E2;C2;G1,A3;B5;G5;D5
C1;E2;G1;C2,A3;B5;D5;G5
D1;A2,D0;G2
A1,A0
C1,A3
A2;D1,G2;D0
A2;F2;D2,G2;e1;B3
C1,A3
A+1;F1,A1;D3
A+2;D2;F1;A+1,G3;B3;D3;A1
A+2;F1;D2;A+1,G3;D3;B3;A1
G1;E2;C2;C1,D5;B5;G5;A3
A1,A0
G1;C1,D5;A3
A2;D1,G2;D0
A1,A0
C1,A3
D1,D0
G1;C1,D5;A3
C1;G1,A3;D5
G1;C1,D5;A3
D1;A2,A5;D7
A2,D7
D2,G7
E2,B5
F2,B6
E2,B5
F2,B6
E2,B5
D2,G7
E2,B5
F2,B6
E2,B5
D2,G7
E2,B5
F2,B6
G2,B8
F2,B6
G2,B8
A3,B10
G2,B8
A3,B10
C3,e8
A3,B10
C3,B13
D3,e10
E3,e12
D3,e10
E3,e12
D3,e10
C3,B13
D3,e10
C3,B13
A3,B10
G2,G12
A3,B10
G2,G12
G2,G12
F2,G10
E2,G9
F2,G10
E2,G9
A2,D7
D2,G7
E2,B5
F2,B6
E2,B5
D2,G7
A2,D7
D2,G7
A2,D7
G1,D5
F1,D3
D1,A5
F1,D3
G1,D5
F1,D3
D1,A5
C1,A3
D1,D0
A1,A0
C1,A3
E2;C1;C2;G1,B5;A3;G5;D5
E2;C2;G1;C1,B5;G5;D5;A3
G1;C2;E2;C1,D5;G5;B5;A3
D2;D1;A2,B3;D0;G2
F2;A3,B6;e5
F2;A3,B6;e5
D2,G7
F2;A3,B6;e5
F2;A3,B6;e5
